Check for Updates...	Zkontrolovat aktualizace...
Table	Tabulka
Query	Dotaz
SQL command	SQL příkaz
Add	Přidat
Apply	Použít
Cancel	Zrušit
Close	Zavřít
Delete	Smazat
Edit	Upravit
Help	Nápověda
New	Nový
No	Ne
OK	OK
Remove	Odstranit
Reset	Obnovit
Yes	Ano
Hide	Skrýt
Show	Zobrazit
Top	Nahoru
Middle	Na střed
Bottom	Dolů
Small	Malá
Large	Velká
Without frame	Bez rámce
3D look	3D vzhled
Flat	Plochý
Valuelist	Seznam hodnot
Table	Tabulka
Query	Dotaz
Sql	SQL
Sql [Native]	SQL [nativní]
Tablefields	Pole tabulky
Left	Vlevo
Center	Na střed
Right	Vpravo
None	Žádné
Submit form	Odeslat formulář
Reset form	Vyčistit formulář
Open document/web page	Otevřít dokument / webovou stránku
First record	První záznam
Previous record	Předchozí záznam
Next record	Další záznam
Last record	Poslední záznam
Save record	Uložit záznam
Undo data entry	Zpět zadání dat
New record	Nový záznam
Delete record	Smazat záznam
Refresh form	Obnovit formulář
Get	GET
Post	POST
URL	URL
Multipart	Multipart
Text	Text
Standard (short)	Standardní (krátké)
Standard (short YY)	Standardní (krátké RR)
Standard (short YYYY)	Standardní (krátké RRRR)
Standard (long)	Standardní (dlouhé)
DD/MM/YY	DD/MM/RR
MM/DD/YY	MM/DD/RR
YY/MM/DD	RR/MM/DD
DD/MM/YYYY	DD/MM/RRRR
MM/DD/YYYY	MM/DD/RRRR
YYYY/MM/DD	RRRR/MM/DD
YY-MM-DD	RR-MM-DD
YYYY-MM-DD	RRRR-MM-DD
13:45	13:45
13:45:00	13:45:00
01:45 PM	01:45 PM
01:45:00 PM	01:45:00 PM
Not Selected	Nevybráno
Selected	Vybráno
Not Defined	Nedefinováno
All records	Všechny záznamy
Active record	Aktivní záznam
Current page	Aktuální stránka
No	Ne
Yes	Ano
Parent Form	Zdrojový formulář
blank	blank
parent	parent
self	self
top	top
None	Žádné
Single	Jeden
Multi	Více
Range	Oblast
Horizontal	Vodorovná
Vertical	Svislá
Default	Výchozí
OK	OK
Cancel	Zrušit
Help	Nápověda
The selected entry	Zvolená položka
Position of the selected entry	Pozice zvolené položky
Single-line	Jednořádkový
Multi-line	Víceřádkový
Multi-line with formatting	Víceřádkový s formátováním
LF (Unix)	LF (Unix)
CR+LF (Windows)	CR+LF (Windows)
None	Žádné
Horizontal	Vodorovný
Vertical	Svislý
Both	Oba
3D	3D
Flat	Plochý
Left top	Vlevo nahoře
Left centered	Vlevo uprostřed
Left bottom	Vlevo dole
Right top	Vpravo nahoře
Right centered	Vpravo uprostřed
Right bottom	Vpravo dole
Above left	Vlevo nad
Above centered	Uprostřed nad
Above right	Vpravo nad
